,Actual,Predicted,Error
0,148711.7912,151078.265625,5600201.204179048
1,222635.2889,222135.140625,250148.29698548975
2,118569.304,118733.421875,26934.676894514403
3,130651.7274,131442.53125,625370.7291748171
4,126722.5925,123433.3828125,10818900.36834384
5,274074.6289,272493.75,2499178.0964652435
6,186770.7521,185193.03125,2489203.0805247617
7,386972.9068,388079.0,1223442.1670862467
8,269066.7474,266169.0625,8396577.779687969
9,166377.7377,166960.125,339174.9672012925
10,163406.1346,161817.359375,2524206.71557377
11,198786.1615,198128.453125,432580.3065451241
12,196853.7716,198271.578125,2010175.342332555
13,133878.0924,128023.5,34276252.17013769
14,149290.6534,150397.421875,1224936.4572538033
15,243115.6736,245281.015625,4688706.085231061
16,189291.1022,188430.921875,739910.1915170951
17,171519.6687,172353.90625,695952.289829987
18,249169.383,246704.921875,6073568.636636274
19,148681.7809,150575.734375,3587059.7654645285
20,251763.3681,254888.34375,9765472.81309297
21,438577.9263,441089.03125,6305648.069914543
22,189814.0198,190363.90625,302375.10789359245
23,293299.6895,298399.75,26010617.103660468
24,201276.2804,201291.578125,234.0203901759698
25,158367.2237,160845.703125,6142860.260148319
26,152429.4381,151658.96875,593623.0192894216
27,127648.4735,131492.125,14773656.853452306
28,170983.3631,171256.1875,74433.15323536668
29,331561.4226,342045.84375,109923086.85056752
30,178382.8352,180595.9375,4897821.7902652845
31,199937.4324,199983.625,2133.756294760869
32,166225.775,166766.21875,292079.4469140688
33,187617.1649,185465.359375,4630267.017420541
34,159844.2213,162117.296875,5166872.56966156
35,269956.1225,263973.53125,35791398.06457654
36,144526.1813,148770.59375,18015037.04571503
37,276205.8352,277402.6875,1432455.4280153564
38,225192.2616,223806.21875,1921114.782036117
39,127581.1248,126448.6328125,1282538.1017517117
40,221352.3581,221603.125,62884.03813560388
41,136309.8013,138144.46875,3366004.652089532
42,227110.3085,231275.34375,17347518.633742448
43,254060.704,255319.484375,1584528.0324851458
44,269371.0172,264205.34375,26684182.192034923
45,203916.9926,204297.640625,144892.91893640233
46,251652.3091,246305.171875,28591876.50298084
47,328580.8218,328075.34375,255508.0590317783
48,119414.2414,119883.7421875,220430.9894631211
49,108624.488,109102.3359375,228338.65137300623
50,183138.8845,186230.34375,9557120.294410652
51,121573.9291,123090.0625,2298660.4865955785
52,163429.436,162074.78125,1835089.4916975272
53,225898.5975,226692.5625,630380.4212249945
54,229680.2999,230564.984375,782666.6203060031
55,177135.8341,177256.125,14469.900622808242
56,185774.9331,187066.96875,1669356.1208709362
57,206901.7991,208255.109375,1831448.7004205652
58,190393.5606,190743.453125,122424.77905087768
59,266766.3771,266927.28125,25890.145487227866
60,280915.2532,280040.75,764755.8468102004
61,260238.9299,257821.140625,5845704.978304969
62,320571.9188,324714.6875,17162532.501699816
63,199832.3148,197232.109375,6761068.252199394
64,140332.4389,139020.703125,1720650.7434148723
65,265579.5669,266083.0625,253507.81921938402
66,141053.2246,141492.65625,193100.1750217341
67,192930.2521,191818.03125,1237035.2191747501
68,261483.28849,261443.71875,1565.7643236680967
69,169556.2391,167583.96875,3889850.3334891465
70,143454.968,142732.25,522321.3075239906
71,252403.8201,253347.28125,890118.9415593004
72,227020.118,226581.96875,191974.76527555168
73,133152.6617,133894.125,549767.8252468946
74,180069.7378,178146.578125,3698543.1355461157
75,255752.0931,258452.171875,7290425.39120551
76,146635.8792,146744.484375,11795.084036781545
77,288338.4067,290689.96875,5529844.075000239
78,152480.0609,143873.421875,74074235.30665314
79,223634.9203,226161.84375,6385342.122159913
80,182236.8816,179780.390625,6034347.9102564175
81,192221.2389,201340.65625,83163772.80348109
82,250053.3591,248825.28125,1508175.205660626
83,388483.9945,394858.46875,40633921.963913426
84,203021.8415,202926.078125,9170.623991392453
85,262585.1416,263532.3125,897132.7138068601
86,147288.5927,147326.828125,1461.9477249299875
87,167751.1874,169569.828125,3307454.0866285427
88,212354.5234,212735.234375,144940.84648544644
89,154745.5815,153996.390625,561286.967183266
90,194903.6995,195592.21875,474058.75762057916
91,225766.7013,227010.921875,1548084.8392533653
92,527023.0322,528904.875,3541332.3239117796
93,269056.4256,270956.96875,3612064.265011858
94,189192.085,187534.0,2749245.867224973
95,137691.3969,140700.59375,9055265.682049967
96,148903.494,147595.65625,1710439.5803250782
97,238566.9442,242234.203125,13448788.02299217
98,146063.2899,146990.8125,860298.1735107537
99,92793.45349,90329.6015625,6070566.320645465
100,226631.4735,218966.15625,58757088.54314745
101,291554.3352,291787.25,54249.30405905293
102,153799.8634,153342.4375,209238.45399081183
103,162749.8717,163644.84375,800974.9702812226
104,156243.8769,154999.90625,1547462.9780614297
105,180963.208,183915.5,8716028.053263921
106,248519.7601,247522.53125,994465.3792723506
107,182860.4773,185018.34375,4656387.616035609
108,249852.2767,251793.765625,3769379.245897704
109,287816.1443,287043.28125,597317.2940552799
110,188136.9387,184367.359375,14209728.287467446
111,255053.4397,257180.453125,4524186.110130281
112,476709.9823,480151.5,11844044.079413468
113,182285.1186,179556.984375,7442716.34961628
114,111276.034,110750.515625,276169.5624626403
115,219919.8933,218635.078125,1650750.0339102705
116,196492.8044,191096.765625,29117234.46130343
117,400156.9113,405480.59375,28341594.828438237
118,193266.6423,192676.921875,347770.17966218863
119,182706.8223,180410.890625,5271302.256268305
120,280333.5622,284136.28125,14460672.173233012
121,158678.0501,158132.53125,297590.815705315
122,167083.6605,164418.453125,7103330.35175438
123,200059.926,199463.03125,356283.3425775706
124,135365.1671,134594.234375,594337.2664759125
125,214135.3251,217420.984375,10795556.87139361
126,230661.2304,231186.328125,275727.62080017524
127,148778.5462,149168.75,152259.00553443094
128,230024.646,227838.515625,4779166.016497675
129,124060.0943,131496.734375,55303615.60509605
130,226875.9534,225252.3125,2636209.7721528052
131,181158.3668,182004.03125,715148.3619938213
132,261109.5272,262277.96875,1365255.655766376
133,206129.6627,205769.0625,130032.50424003006
134,171988.0287,172785.203125,635487.0638740881
135,322904.4057,322196.1875,501573.0188112442
136,198722.722,195736.953125,8914815.774918819
137,269185.6118,268036.875,1319596.2356742707
138,237661.2101,235970.75,2857655.3496919987
139,215203.6776,213959.21875,1548677.8293433113
140,294211.1478,295073.1875,743112.4443761297
141,161930.1128,163086.640625,1337556.6099992245
142,328042.8361,331331.75,10816954.64161311
143,181016.3679,183198.609375,4762177.855210124
144,235271.2214,233765.296875,2267808.674996504
145,127166.4159,126129.1796875,1075858.9605213602
146,256865.1136,256062.625,643987.9531299785
147,156335.5897,151540.125,22996481.6889462
148,192485.8841,189071.578125,11657485.290920671
149,270191.7315,270751.28125,313095.92272506875
150,245072.3882,245089.40625,289.6140258029533
151,222827.562,221737.25,1188780.2573440117
152,139619.2391,139338.109375,79033.92227857908
153,204322.3053,202699.296875,2634156.347621004
154,141373.92,140586.40625,620177.9064390827
155,231131.4616,231194.59375,3985.668363621283
156,242467.2183,243882.15625,2002049.4023501805
157,230282.0792,229589.265625,479990.6497042909
158,109168.039,112318.1640625,9923287.909390602
159,280370.9699,281366.8125,991702.4839747092
160,192506.7088,191731.984375,600197.9346915699
161,168699.2179,169095.4375,156989.97142416894
162,224491.7673,222173.5,5374363.274249322
163,176794.5508,169667.78125,50790844.21880716
164,101545.5775,99805.890625,3026510.4230472636
165,163135.6768,164277.03125,1302689.9805348332
166,137801.4254,135441.28125,5570280.408779257
167,209437.6615,209901.40625,215059.19315257415
168,187054.9904,187534.25,229689.7641921507
169,303867.2541,299769.125,16794662.120266974
170,108532.9865,106916.125,2614241.110182247
171,109058.4232,113459.8125,19372227.77015445
172,171965.8929,171843.953125,14869.308727052136
173,267348.74864,268889.40625,2373625.871250896
174,309205.4983,308136.1875,1143425.5869965919
175,258899.4045,260193.875,1675653.8753702391
176,628127.8203,638985.125,117881065.34864163
177,205881.8274,206646.765625,585130.4880661365
178,221758.1583,220910.8125,717994.904777657
179,235165.7121,233990.421875,1381307.1129805606
180,278911.5311,280857.40625,3786430.099387437
181,279095.9897,281882.5,7764639.652006221
182,202007.6419,204365.734375,5560600.120651683
183,255232.9751,255888.859375,430184.18219226174
184,180409.1308,179555.65625,728418.8074977256
185,206186.757,206435.796875,62020.859340009476
186,225360.15229,228292.796875,8600404.261929832
187,121037.2786,121430.734375,154807.4468808466
188,195828.85,197291.5,2139345.022499983
189,155885.1816,153398.640625,6182886.020354005
190,242993.2853,241816.484375,1384860.417080829
191,260566.2303,263909.84375,11179750.903020931
192,249628.8918,254130.296875,20262647.649235647
193,140368.8267,138077.28125,5251180.549415726
194,178461.5561,177780.515625,463816.128588208
195,223935.327,222112.390625,3323097.027298105
196,230657.0389,228123.9375,6416602.702682031
197,235583.9989,237897.03125,5350118.652146495
198,167645.4174,166499.1875,1313842.9836540231
199,172776.3246,174650.5625,3512767.705796438
200,277010.6542,279729.5625,7392462.343808944
201,227234.9449,225487.640625,3053072.229433283
202,175287.7913,173197.265625,4370297.597834255
203,132847.2633,133215.171875,135356.71955853692
204,301930.984,302764.9375,695478.4401622554
205,164283.767,166874.609375,6712464.212095679
206,255768.7818,254898.421875,757526.3990460004
207,114779.1696,114940.9375,26168.853470412003
208,201615.4844,205057.90625,11850268.193357514
209,354571.3553,371244.09375,277980207.42210853
210,304558.3769,307319.40625,7623283.071561567
211,191139.4506,197439.203125,39686881.87624373
212,159996.9063,160761.421875,584484.064417577
213,158741.2951,160695.984375,3820810.1618000707
214,234740.2187,236515.75,3152511.3972796984
215,181577.6983,184397.140625,7949255.024001467
216,290734.1116,288863.625,3498720.1207795744
217,169954.0131,168530.546875,2026256.093715782
218,214369.831,214407.46875,1416.6002250620793
219,197636.2305,198004.9375,135944.85184899622
220,209211.5091,204472.125,22461761.64733277
221,361910.6716,362492.28125,338269.7849731208
222,135230.3407,136003.3125,597485.403595239
223,146735.4491,146000.75,539782.767540807
224,158925.3466,160661.546875,3014391.394910111
225,179632.9426,178954.3125,460538.8126260228
226,221173.1316,222115.40625,887881.516032635
227,291025.7657,290826.09375,39868.887616798114
228,173502.6437,173032.984375,220579.88155944247
229,258697.374,262500.5,14463767.37187592
230,244265.939,241737.921875,6390870.584293332
231,257265.4321,257200.171875,4258.896967051336
232,135287.266,135472.625,34357.95888099879
233,296418.1509,295481.84375,876671.0791411372
234,214774.0236,212162.90625,6817933.815470949
235,258705.1762,262863.28125,17289837.60683561
236,162279.7522,160765.84375,2291918.7949813665
237,247098.4949,244833.9375,5128220.217894717
238,261868.2127,262077.71875,43892.78498660096
239,157692.8847,157531.046875,26191.48160072903
240,213546.9909,214058.796875,261945.3560456962
241,309658.0191,318287.1875,74462547.27555898
242,243749.0014,243937.59375,35567.074478519375
243,262861.4473,262385.90625,226139.29023510232
244,175407.985,178280.609375,8251970.799844221
245,281185.4579,278735.75,6001068.795322309
246,277265.9943,276960.75,93174.0826825024
247,272990.4793,268075.59375,24156099.969598863
248,198519.6677,196799.609375,2958600.6414017742
249,180848.0639,182496.03125,2715796.386665995
250,170716.9171,164842.234375,34511897.11941332
251,136371.0194,139670.09375,10883891.566827988
252,120548.7022,119903.171875,416709.40049460524
253,183863.0149,182932.75,865392.7841720271
254,300832.2662,310051.03125,84985629.04710127
255,154633.1983,155028.546875,156300.49575453924
256,175977.6441,175840.625,18774.233764811364
257,157724.4666,157663.03125,3774.3022296242566
258,401402.3442,401776.9375,140320.1404048958
259,269350.6995,268302.78125,1098132.6586830372
260,140243.8756,139768.328125,226145.40097887506
261,307474.904,309816.03125,5480876.800692654
262,186274.2223,188514.71875,5019824.342462629
263,202012.067,199277.5625,7477514.860520305
264,124060.0943,128885.8203125,23287631.54771918
265,196269.5506,195300.6875,938695.7065415863
266,174723.0217,175463.140625,547776.0231431378
267,159928.3237,162446.78125,6342628.431151962
268,160838.2426,159406.15625,2050871.313856316
269,155125.1305,155032.234375,8629.690040015495
270,172629.7848,174830.3125,4842322.158467316
271,226271.1961,226326.5625,3065.4382489598866
272,186958.5029,186212.96875,555821.1688162109
273,193962.17522,197876.5,15321938.483322011
274,180466.3335,183266.25,7839532.406972205
275,179722.546,181290.375,2458087.7732409933
276,262979.5054,260595.5,5683481.7472292725
277,223929.0797,222344.390625,2511239.464424362
278,172084.2321,171562.03125,272693.727740716
279,253400.6695,250477.203125,8546655.645755576
280,176059.8979,178237.078125,4740113.732131003
281,216378.0593,212865.359375,12339060.76309496
282,155781.7328,159069.953125,10812392.905743118
283,796051.6138,806047.125,99910244.14932443
284,209537.2179,209312.296875,50589.46748704556
285,215186.9229,215148.8125,1452.4025881603834
286,156292.088,157218.125,857544.5253690206
287,213011.8338,214225.578125,1473175.2864697224
288,88523.07577,88937.0859375,171404.4187933815
289,296837.7185,300084.21875,10539763.87324995
290,93144.51122,93786.671875,412370.3068300286
291,108384.0288,110428.859375,4181332.0804548305
292,187045.1176,185911.40625,1285301.4251188175
293,275241.2277,273565.875,2806806.6693972517
294,215734.5581,215199.75,286019.70382560435
295,138478.7717,141281.6875,7856336.981889572
296,240189.183,242942.90625,7582991.7375906175
297,204001.8839,204447.8125,198852.31629797234
298,208707.1075,209082.828125,141165.988050381
299,170928.8896,172873.296875,3780719.651072945
300,209354.7719,209286.984375,4595.148545624602
301,187456.1457,188809.109375,1830510.7058695229
302,310920.095,312739.6875,3310916.8660563515
303,544764.6457,543286.9375,2183621.5243472215
304,153265.4563,154771.484375,2268120.5626882333
305,138249.4711,141202.953125,8723056.071998129
306,243273.6472,244492.5,1485602.1480678236
307,261080.2725,260040.828125,1080444.6087191238
308,284534.2904,287368.96875,8035401.347958733
309,211685.9824,209245.484375,5956030.61002894
310,329768.1521,330170.21875,161657.5910422172
311,104814.6283,104454.4609375,129720.529010204
312,225581.5201,227895.21875,5353201.443011849
313,156209.7288,156500.703125,84666.05780919883
314,157476.757,157598.015625,14703.654136887631
315,209377.7877,211448.15625,4286425.932829159
316,229021.3739,227359.640625,2761357.4772422453
317,169931.9811,169505.953125,181499.83548260448
318,183973.9811,187659.3125,13581667.527825927
319,141211.785,140587.65625,389536.69657656684
320,186218.4574,188058.828125,3386964.4054369745
321,186559.5574,185810.84375,560572.1296963084
322,143681.1666,144433.25,565629.4405555647
323,254976.0994,253578.875,1952236.023955378
324,198086.1801,198126.140625,1596.8435582758036
325,308954.9671,307707.375,1556486.0479824324
326,215196.5785,214876.390625,102520.27529701771
327,228483.4162,227450.28125,1067367.8249115169
328,161249.7376,164544.453125,10855150.390676072
329,171581.7815,171964.96875,146832.4685625534
330,152299.1216,152450.765625,22995.910318196642
331,227184.4153,229721.625,6437433.061774124
332,323996.7761,326149.625,4634758.386231136
333,131344.1165,133258.203125,3663727.608003876
334,166585.8094,166704.15625,14005.976904922907
335,146284.4358,148042.109375,3089416.3962532575
336,81807.44494,85613.359375,14484984.68654136
337,238403.525,239667.359375,1597277.3274316553
338,106233.4651,108382.9921875,4620466.699896228
339,174478.3516,178077.796875,12956006.287719864
340,273930.4712,275913.65625,3933022.9425433874
341,306629.7748,310061.71875,11778239.275941508
342,298263.5417,300104.65625,3389702.7862216965
343,170169.5927,167957.625,4892801.105843327
344,189444.7371,190979.03125,2354058.5387242273
345,381310.5381,382900.40625,2527680.734384406
346,141300.4656,141977.28125,458079.42408492806
347,236384.5287,236717.28125,110724.25953150562
348,332715.6594,334329.46875,2604380.618147409
349,185230.664,186223.984375,986685.367390161
350,107280.0067,107776.3125,246319.4471136419
351,185761.7198,184709.546875,1107067.864103038
352,270194.131,274377.71875,17502406.461950112
353,151966.7763,150554.109375,1995627.8409889492
354,310307.0549,312761.4375,6023993.947182817
355,156497.6857,156696.859375,39670.152813004905
356,241515.1156,241567.0,2691.990963361029
357,221148.0834,223896.640625,7554566.819099683
358,338776.4136,342327.8125,12612434.146921005
359,284790.7804,285592.375,642553.9027491781
360,157318.4391,156842.125,226875.12185879922
361,255239.8172,256652.640625,1996070.0302287578
362,255265.2841,257338.421875,4297900.234131993
363,279240.0172,282061.21875,7959178.185722391
364,187693.0887,189327.984375,2672883.8681337284
365,231697.0963,232174.671875,228078.42983657614
366,88326.4484,89415.3828125,1185778.1547267335
367,254104.9026,258104.0,15992780.01468675
368,171424.2669,173815.8125,5719490.356879419
369,185478.68176,186302.875,679294.4968616865
370,293341.075,293875.15625,285242.78160155006
371,275005.12,276249.46875,1548403.811626574
372,132640.5119,133480.25,705160.0765915895
373,198321.937,198716.5,155679.9609689958
374,269000.792,270550.28125,2400916.9358655135
375,204632.0156,203348.40625,1647652.9634074569
376,166414.2852,167066.703125,425649.1488612887
377,325214.8263,330816.03125,31373496.89190433
378,138378.1937,138643.46875,70370.85215250067
379,141229.1346,141426.5625,38977.775698413825
380,341628.9146,340744.53125,782133.9097572548
381,545283.4715,547822.0,6444126.945312326
382,242690.2853,243214.828125,275145.17525899253
383,162687.4057,161548.96875,1296038.6891253092
384,175692.8322,175837.296875,20870.04232285436
385,193136.4125,195685.4375,6497528.450624971
386,142495.6281,141264.671875,1515253.227866255
387,181262.2274,182094.8125,693197.9487420043
388,207592.3594,205319.890625,5164114.333349939
389,685671.1878,669901.9375,248669255.02404872
390,231785.1103,227570.25,17765047.34851609
391,222415.3972,223157.296875,550415.1277650957
392,271495.1498,270494.625,1001049.8754150675
393,149998.708,148800.25,1436301.5777640317
394,259997.4946,259903.671875,8802.703726426647
395,355998.1739,356965.8125,936324.460209971
396,213842.9923,209964.03125,15046338.8274172
397,188932.0334,190324.6875,1939485.4422468499
398,139496.3435,139044.625,204049.60324223927
399,229213.2846,231682.15625,6095327.224173656
400,288015.1055,287632.65625,146267.42882556643
401,188415.4663,179355.984375,82074212.7494017
402,392171.9807,388160.96875,16088216.863042919
403,304244.6122,306656.5,5817202.759788965
404,167258.0545,165015.296875,5029961.764495634
405,150805.7196,151167.734375,131054.69731829247
406,219489.8978,220127.828125,406955.09955459787
407,209615.7199,211805.625,4795684.347006026
408,134797.3303,133629.53125,1363754.621180906
409,139616.0834,141719.1875,4423046.855436796
410,144631.2625,143367.953125,1595950.5769629201
411,188170.4027,189421.015625,1564032.6881770405
412,176999.5807,178311.53125,1721214.2456453252
413,156400.6656,157177.5625,603568.7932295983
414,213148.3337,211170.8125,3910590.096449394
415,283493.2019,283692.03125,39533.110421428275
416,299062.8529,305715.84375,44262287.250183746
417,249447.0738,249267.53125,32235.527260507115
418,202888.8549,201945.234375,890419.6952012865
419,217190.6691,215772.765625,2010450.2644170732
420,189238.9004,191459.25,4929952.346220101
421,142743.5529,142234.09375,259548.62551873235
422,167143.7307,166175.125,938197.002072462
423,223982.8734,222670.65625,1721913.8487541522
424,136136.3233,135536.359375,359956.7113013925
425,133307.9376,133064.6875,59170.61115001231
426,195418.8058,197024.9375,2579659.037744884
427,172679.1665,170494.75,4771675.445472215
428,193410.0559,193428.1875,328.75491855975855
429,110275.6007,113121.515625,8099231.760337782
430,248999.0542,248249.03125,562534.4255267223
431,231943.4074,230029.203125,3664178.0064282618
432,206782.1562,208698.078125,3670756.822695715
433,269457.2034,270029.0,326951.3517715617
434,175069.6504,171500.546875,12738499.97216752
435,180037.2358,180115.5,6125.285001640795
436,156113.6605,156978.359375,747704.1444262689
437,139224.9463,141044.25,3309865.9528336516
438,152411.0554,153930.84375,2309756.628795686
439,151473.3408,150783.375,476052.80516964744
440,218852.1538,221512.140625,7075529.909173581
441,167301.404,166186.03125,1244056.3714425839
442,155789.3826,152026.59375,14158579.929684412
443,234800.6622,237423.921875,6881491.32248115
444,239922.5762,240815.03125,796476.0162704838
445,132959.8115,131716.84375,1544968.8275400891
446,158661.4243,156157.375,6270262.896830557
447,376420.396,378471.65625,4207668.61323003
448,180730.1682,184213.703125,12135015.573694857
449,293474.7978,293251.65625,49792.151336402625
450,284337.4903,281955.9375,5671793.739187864
451,158425.7064,156695.875,2992316.6724259444
452,202993.1293,200617.46875,5643763.048826305
453,158236.0896,158163.25,5305.607328160963
454,84660.36172,86291.1953125,2659618.2064264533
455,172538.71131,173669.296875,1278223.719786339
456,142657.7131,142226.15625,186241.31478191697
457,124534.3327,127038.390625,6270306.09175531
458,258241.4896,257164.625,1159637.3667331617
459,245684.1226,245083.828125,360353.4567155285
460,224171.8742,221951.53125,4929922.815614663
461,206306.9104,205635.875,450288.50805315113
462,161850.8441,159443.328125,5796133.169880141
463,254383.5685,252637.78125,3047773.122262541
464,184694.2963,184449.359375,59994.09722844938
465,126691.1625,127345.453125,428096.221962883
466,164137.0593,162236.8125,3610937.9009102155
467,299312.9829,304897.03125,31181595.975137692
468,183068.4074,181108.515625,3841175.7697126367
469,241248.3095,240589.78125,433659.4560480665
